IDLabelStudio,N,sector,unidadSocial,machoAlfa,machoAlfaMerto,machosOtros,hembras,lactantes,destetadas,totalElefanteVivos,lMuertasRec,lMuertasInterm,otrosMachosMuertos,hembrasMuertas,destetadosMuertos,totalCriasMuertas,totalElefantesMuertos,lobosMuertos,gaviotas,residuosTotales,latitud,longitud,,residuosTotalesCajonesYOtros),gaviotas,totalElefanteVivos,totalElefantesMuertos,lobosMuertos
77934505,1039,sur,H1,1,0,0,6,5,0,12,0,0,0,0,0,0,0,0,0,0,-42.874866,-64.137994,,0,0,12,0,0
77934500,1042,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,-42.876115,-64.133616,,0,7,1,0,0
77934493,1049,sur,H1s/m,0,0,0,14,10,0,24,0,0,0,0,0,0,0,0,0,0,-42.877302,-64.122654,,0,0,24,0,0
77934492,1051,sur,PS,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,-42.878274,-64.115709,,0,0,3,0,0
77934492,1051,sur,S,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,32,0,-42.878274,-64.115709,,0,32,3,0,0
77934732,1061,sur,H1,1,0,1,7,2,0,11,0,0,0,0,0,0,0,0,0,0,-42.870039,-64.071912,,0,0,11,0,0
77934722,1071,sur,S,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.860784,-64.013667,,0,0,2,0,0
77934721,1072,sur,S,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-42.860784,-64.013667,,0,0,4,0,0
77934715,1078,sur,H1,1,0,1,91,35,0,128,43,5,0,0,0,48,48,0,68,0,-42.85317,-63.990591,,0,68,128,48,0
77934713,1080,sur,H1,1,0,0,14,8,0,23,10,0,0,0,0,10,10,10,26,0,-42.852026,-63.987329,,0,26,23,10,0
77934712,1081,sur,H1,1,0,0,17,6,0,24,11,0,0,0,0,11,11,11,0,0,-42.852157,-63.987889,,0,0,24,11,0
77934710,1083,sur,H1,1,0,0,21,12,0,34,4,0,0,0,0,4,4,4,1,0,-42.852004,-63.987113,,0,1,34,4,0
77934709,1084,sur,H1,1,0,0,9,5,0,15,2,0,0,0,0,2,2,2,0,0,-42.851796,-63.986407,,0,0,15,2,0
77934705,1086,sur,PS,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.851041,-63.982383,,0,0,2,0,0
77934704,1087,sur,S,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.850742,-63.967325,,0,0,2,0,0
77934707,1091,sur,H1,1,0,2,2,2,0,7,0,0,0,0,0,0,0,0,0,0,-42.847903,-63.96457,,0,0,7,0,0
