timestamp,wind_speed_spotter,bottom_temperature_spotter,significant_wave_height_spotter,top_temperature_spotter
2023-10-19T10:56:00.000Z,0,8.900000000000002,0.28,8.98
2023-10-19T10:36:00.000Z,,8.900000000000002,,8.98
2023-10-19T10:26:00.000Z,0,,0.27,
2023-10-19T10:16:00.000Z,,8.900000000000002,,8.96
2023-10-19T09:56:00.000Z,,8.900000000000002,,8.96
2023-10-19T09:36:00.000Z,,8.900000000000002,,8.96
2023-10-19T09:16:00.000Z,,8.900000000000002,,8.98
2023-10-19T08:56:00.000Z,0.4,8.900000000000002,0.32,8.98
2023-10-19T08:36:00.000Z,,8.879999999999999,,8.96
2023-10-19T08:26:00.000Z,0.4,,0.27,
2023-10-19T08:16:00.000Z,,8.86,,8.940000000000001
2023-10-19T07:56:00.000Z,,8.84,,8.940000000000001
2023-10-19T07:36:00.000Z,,8.84,,8.940000000000001
2023-10-19T07:16:00.000Z,,8.900000000000002,,8.940000000000001
2023-10-19T06:56:00.000Z,0.8,8.98,0.35,9.080000000000002
2023-10-19T06:36:00.000Z,,9,,9.100000000000001
2023-10-19T06:26:00.000Z,0.8,,0.34,
2023-10-19T06:16:00.000Z,,9.02,,9.080000000000002
2023-10-19T05:56:00.000Z,,9.060000000000002,,9.120000000000001
2023-10-19T05:36:00.000Z,,9.060000000000002,,9.120000000000001
2023-10-19T05:16:00.000Z,,9.060000000000002,,9.120000000000001
2023-10-19T04:56:00.000Z,1.6,9.080000000000002,0.29,9.14
2023-10-19T04:36:00.000Z,,9.060000000000002,,9.14
2023-10-19T04:26:00.000Z,0.8,,0.46,
2023-10-19T04:16:00.000Z,,9.060000000000002,,9.120000000000001
2023-10-19T03:56:00.000Z,,9.060000000000002,,9.14
2023-10-19T03:36:00.000Z,,9.060000000000002,,9.120000000000001
2023-10-19T03:16:00.000Z,,9.080000000000002,,9.16
2023-10-19T02:56:00.000Z,4.4,9.060000000000002,0.34,9.14
2023-10-19T02:36:00.000Z,,9.080000000000002,,9.16
2023-10-19T02:26:00.000Z,0.4,,0.32,
2023-10-19T02:16:00.000Z,,9.100000000000001,,9.14
2023-10-19T01:56:00.000Z,,9.16,,9.32
2023-10-19T00:56:00.000Z,0.4,,0.3,
2023-10-19T00:26:00.000Z,1.2,,0.29,
2023-10-18T22:56:00.000Z,0.4,,0.23,
2023-10-18T22:26:00.000Z,0.4,,0.23,
2023-10-18T21:36:00.000Z,,9.18,,9.580000000000002
2023-10-18T21:16:00.000Z,,9.240000000000002,,9.34
2023-10-18T20:56:00.000Z,0.4,9.219999999999999,0.2,9.379999999999999
2023-10-18T20:36:00.000Z,,9.2,,9.3
2023-10-18T20:26:00.000Z,0.4,,0.22,
2023-10-18T20:16:00.000Z,,9.18,,9.32
2023-10-18T19:56:00.000Z,,9.14,,9.280000000000001
2023-10-18T19:36:00.000Z,,9.060000000000002,,9.219999999999999
2023-10-18T19:16:00.000Z,,8.98,,9.14
2023-10-18T18:56:00.000Z,2,8.96,0.23,9.240000000000002
2023-10-18T18:36:00.000Z,,9,,9.280000000000001
2023-10-18T18:26:00.000Z,1.2,,0.24,
2023-10-18T18:16:00.000Z,,9.060000000000002,,9.32
2023-10-18T17:56:00.000Z,,9.100000000000001,,9.36
2023-10-18T17:36:00.000Z,,9.14,,9.46
2023-10-18T17:16:00.000Z,,9.14,,9.379999999999999
2023-10-18T16:56:00.000Z,2,9.120000000000001,0.28,9.260000000000002
2023-10-18T16:36:00.000Z,,9.080000000000002,,9.219999999999999
2023-10-18T16:26:00.000Z,2,,0.29,
2023-10-18T16:16:00.000Z,,9.060000000000002,,9.2
2023-10-18T15:56:00.000Z,,9.060000000000002,,9.18
2023-10-18T15:36:00.000Z,,9.04,,9.16
2023-10-18T15:16:00.000Z,,9.02,,9.120000000000001
2023-10-18T14:56:00.000Z,3.6,9,0.24,9.100000000000001
2023-10-18T14:36:00.000Z,,9,,9.080000000000002
2023-10-18T14:26:00.000Z,4.4,,0.24,
2023-10-18T14:16:00.000Z,,9,,9.080000000000002
2023-10-18T13:56:00.000Z,,8.96,,9.060000000000002
2023-10-18T13:36:00.000Z,,8.920000000000002,,9.02
2023-10-18T13:16:00.000Z,,8.879999999999999,,9
2023-10-18T12:56:00.000Z,1.2,8.879999999999999,0.19,8.98
2023-10-18T12:36:00.000Z,,8.86,,8.940000000000001
2023-10-18T12:26:00.000Z,0.4,,0.19,
2023-10-18T12:16:00.000Z,,8.84,,8.940000000000001
2023-10-18T11:56:00.000Z,,8.84,,8.920000000000002
2023-10-18T11:36:00.000Z,,8.82,,8.900000000000002
2023-10-18T11:16:00.000Z,,8.82,,8.900000000000002
2023-10-18T10:56:00.000Z,6,8.8,0.22,8.879999999999999
2023-10-18T10:36:00.000Z,,8.8,,8.86
2023-10-18T10:26:00.000Z,4.4,,0.19,
2023-10-18T10:16:00.000Z,,8.8,,8.86
2023-10-18T09:56:00.000Z,,8.8,,8.86
2023-10-18T09:36:00.000Z,,8.8,,8.86
2023-10-18T09:16:00.000Z,,8.8,,8.86
2023-10-18T08:56:00.000Z,0,8.82,0.15,8.86
2023-10-18T08:36:00.000Z,,8.82,,8.879999999999999
2023-10-18T08:26:00.000Z,0.4,,0.18,
2023-10-18T08:16:00.000Z,,8.82,,8.879999999999999
2023-10-18T07:56:00.000Z,,8.82,,8.900000000000002
2023-10-18T07:36:00.000Z,,8.82,,8.900000000000002
2023-10-18T07:16:00.000Z,,8.84,,8.900000000000002
2023-10-18T06:56:00.000Z,2.8,8.86,0.2,8.920000000000002
2023-10-18T06:36:00.000Z,,8.879999999999999,,8.940000000000001
2023-10-18T06:26:00.000Z,4,,0.21,
2023-10-18T06:16:00.000Z,,8.879999999999999,,8.940000000000001
2023-10-18T05:56:00.000Z,,8.879999999999999,,8.940000000000001
2023-10-18T05:36:00.000Z,,8.900000000000002,,8.940000000000001
2023-10-18T05:16:00.000Z,,8.900000000000002,,8.940000000000001
2023-10-18T04:56:00.000Z,2.4,8.900000000000002,0.21,8.96
2023-10-18T04:36:00.000Z,,8.900000000000002,,8.98
2023-10-18T04:26:00.000Z,3.6,,0.19,
2023-10-18T04:16:00.000Z,,8.900000000000002,,8.98
2023-10-18T03:56:00.000Z,,8.920000000000002,,8.98
2023-10-18T03:36:00.000Z,,8.920000000000002,,9
2023-10-18T03:16:00.000Z,,8.940000000000001,,9
2023-10-18T02:56:00.000Z,5.2,8.940000000000001,0.22,9.02
2023-10-18T02:36:00.000Z,,8.940000000000001,,9
2023-10-18T02:26:00.000Z,3.2,,0.18,
2023-10-18T02:16:00.000Z,,8.940000000000001,,9.02
2023-10-18T01:56:00.000Z,,8.96,,9.02
2023-10-18T00:56:00.000Z,0,,0.19,
2023-10-18T00:26:00.000Z,1.2,,0.19,
2023-10-17T22:56:00.000Z,0,,0.2,
2023-10-17T22:26:00.000Z,0.4,,0.2,
2023-10-17T21:36:00.000Z,,9.080000000000002,,9.440000000000001
2023-10-17T21:16:00.000Z,,9.080000000000002,,9.5
2023-10-17T20:56:00.000Z,0,9.100000000000001,0.18,9.580000000000002
2023-10-17T20:36:00.000Z,,9.100000000000001,,9.66
2023-10-17T20:26:00.000Z,0,,0.19,
2023-10-17T20:16:00.000Z,,9.080000000000002,,9.68
2023-10-17T19:56:00.000Z,,9.080000000000002,,9.420000000000002
2023-10-17T19:36:00.000Z,,9.060000000000002,,9.36
2023-10-17T19:16:00.000Z,,9.04,,9.32
2023-10-17T18:56:00.000Z,0,9,0.18,9.14
2023-10-17T18:36:00.000Z,,8.940000000000001,,9.100000000000001
2023-10-17T18:26:00.000Z,0,,0.16,
2023-10-17T18:16:00.000Z,,8.879999999999999,,9.100000000000001
2023-10-17T17:56:00.000Z,,8.900000000000002,,9.100000000000001
2023-10-17T17:36:00.000Z,,8.96,,9.080000000000002
2023-10-17T17:16:00.000Z,,8.98,,9.14
2023-10-17T16:56:00.000Z,0,8.98,0.19,9.120000000000001
2023-10-17T16:36:00.000Z,,8.96,,9.120000000000001
2023-10-17T16:26:00.000Z,0,,0.18,
2023-10-17T16:16:00.000Z,,8.940000000000001,,9.080000000000002
2023-10-17T15:56:00.000Z,,8.920000000000002,,9.060000000000002
2023-10-17T15:36:00.000Z,,8.920000000000002,,9.02
2023-10-17T15:16:00.000Z,,8.900000000000002,,9.02
2023-10-17T14:56:00.000Z,0.4,8.900000000000002,0.18,8.98
2023-10-17T14:36:00.000Z,,8.879999999999999,,8.96
2023-10-17T14:26:00.000Z,0.4,,0.2,
2023-10-17T14:16:00.000Z,,8.86,,8.940000000000001
2023-10-17T13:56:00.000Z,,8.86,,8.940000000000001
2023-10-17T13:36:00.000Z,,8.84,,8.940000000000001
2023-10-17T13:16:00.000Z,,8.84,,8.920000000000002
2023-10-17T12:56:00.000Z,1.6,8.82,0.21,8.920000000000002
2023-10-17T12:36:00.000Z,,8.8,,8.900000000000002
2023-10-17T12:26:00.000Z,4.8,,0.21,
2023-10-17T12:16:00.000Z,,8.780000000000001,,8.86
2023-10-17T11:56:00.000Z,,8.760000000000002,,8.86
2023-10-17T11:36:00.000Z,,8.760000000000002,,8.84
2023-10-17T11:16:00.000Z,,8.760000000000002,,8.84
2023-10-17T10:56:00.000Z,0,8.760000000000002,0.19,8.84
2023-10-17T10:36:00.000Z,,8.760000000000002,,8.82
2023-10-17T10:26:00.000Z,0,,0.19,
2023-10-17T10:16:00.000Z,,8.760000000000002,,8.82
2023-10-17T09:56:00.000Z,,8.760000000000002,,8.82
2023-10-17T09:36:00.000Z,,8.760000000000002,,8.84
2023-10-17T09:16:00.000Z,,8.760000000000002,,8.84
2023-10-17T08:56:00.000Z,0,8.760000000000002,0.16,8.84
2023-10-17T08:36:00.000Z,,8.780000000000001,,8.84
2023-10-17T08:26:00.000Z,0,,0.17,
2023-10-17T08:16:00.000Z,,8.780000000000001,,8.84
2023-10-17T07:56:00.000Z,,8.780000000000001,,8.84
2023-10-17T07:36:00.000Z,,8.8,,8.86
2023-10-17T07:16:00.000Z,,8.8,,8.86
2023-10-17T06:56:00.000Z,0,8.8,0.21,8.86
2023-10-17T06:36:00.000Z,,8.8,,8.86
2023-10-17T06:26:00.000Z,0,,0.18,
2023-10-17T06:16:00.000Z,,8.8,,8.86
2023-10-17T05:56:00.000Z,,8.8,,8.86
2023-10-17T05:36:00.000Z,,8.86,,8.900000000000002
2023-10-17T05:16:00.000Z,,8.900000000000002,,8.96
2023-10-17T04:56:00.000Z,4,8.900000000000002,0.24,8.98
2023-10-17T04:36:00.000Z,,8.900000000000002,,8.96
2023-10-17T04:26:00.000Z,0,,0.24,
